party,year,pattern,match,sentence,protocol_id,is_correct__fill_in
C,2003,vi svenskar,vi svenskar,"Jag har själv varit i en kommun där det uppstod påtagliga kulturkrockar. Det handlar om att man helt enkelt inte förstår hur man ska uppföra sig i vårt land, eller också förstår vi svenskar inte hur det känns att komma hit. Det har varit för mycket av tycka-synd-om-mentalitet i stället för att man sett till de enskilda människorna och gett dem en möjlighet att gå vidare i livet.",GR0919,
C,2003,svenska folket,svenska folket,"Riksdagen ska självfallet ha en positiv hållning till detta. Riksdagen måste också, naturligtvis, kunna bedöma i vilka lägen man vill söka råd hos svenska folket. Vi gör i dag inte någon annan bedömning än den vi gjorde när riksdagen tog ställning för Maastricht och för Nice.",GR0932,
C,2003,svenska folket,svenska folket,Här undrar jag om inte Gustav Fridolin är som en ulv i fårakläder. Det som Gustav Fridolin framför allt försöker åstadkomma är att lura svenska folket att det finns en möjlighet att i konventsförslaget eller ett nytt fördrag välja mellan alternativ som inte finns. Gustaf Fridolin vill ha en folkomröstning mellan det nya fördraget och Nice-fördraget.,GR0932,
C,2005,svenska folket,svenska folket,"Detta vill vi bygga upp inför framtiden, för det är förmodligen inte sista gången som vi får uppleva en katastrof i vårt land, eller i någon annan världsdel där svenskar blir utsatta för dess verkningar. Varför förnekar ni svenska folket denna rättighet, denna möjlighet? Vi hade kunnat bygga upp den tillsammans om ni hade tagit ert förnuft till fånga.",GS09109,
C,2005,vanligt folk,vanligt folk,En del i det arbetet är att förbättra kapitalförsörjningen genom möjlighet till uppskjuten kapitalvinstbeskattning. Här handlar det om stimulans till företagande genom möjlighet till starta-eget-sparande för att vanligt folk ska kunna bli egna företagare. Samtidigt som de här satsningarna sker på företagande är det viktigt att visa entreprenörer uppskattning och också inse att de som satsar på att bli entreprenörer ska tillåtas bli rika.,GT0936,
C,2006,svenska folket,svenska folket,"Det var ett 30-tal ledamöter och tjänstemän som fanns på plats och kämpade väl, sannolikt inspirerade av de stora svenska framgångarna vid OS i Turin. Gårdagen blev en väldigt stor dag med två guldmedaljer och en bronsmedalj som svenska folket gläds åt. Men om den 22 februari blev en glädjens dag, så var den 27 juni i somras en sorgens dag för alla oss som gillar idrott och ser den som ett sätt att också stärka folkhälsan genom att fler människor kommer i rörelse.",GT0978,
C,2007,svenska folket,svenska folket,Herr talman! Jag tror att svenska folket tror mer på alliansregeringen än på Göran Persson när det gäller företagsklimat. Alla de åtgärder som vi räknade upp är åtgärder som företagarna själva ville ha.,GU0949,
C,2008,svenska folket,svenska folket,"Så frågan är om vi i Sverige får några nya fördelar genom Lissabonfördraget, utöver dem som andra länder får. Vi som sitter i riksdagen gör det på mandat från det svenska folket, och därför anser jag att det är angeläget att svenska folket får komma till tals och kan uttrycka sin åsikt antingen genom att frågan på allvar tas upp i en valrörelse eller att den blir föremål för en folkomröstning. Men riksdagens majoritet vill inte det utan anser att fördraget måste skyndas igenom.",GW0932,
C,2009,vanliga människor,vanliga människor,"Barnen i Gaza måste också ha rätt att få växa upp med drömmar om vad de vill göra i livet och möjligheter till utbildning och ett gott liv, i stället för att drömma om martyrdöd som vägen till framgång. När vi i dag hör och ser berättelser från de vanliga människor som drabbas, från barn som växer upp med rädslan som huvudkudde, måste vi bryta tystnaden. Också om det här måste vi våga tala.",GW0964,
C,2009,svenska folket,svenska folket,"I deras program framskymtar att de gärna vill ta över ägandet i svenskt näringsliv – inte i organisationen utan i alla företag runt om i landet. Någonstans handlar det om en syn på arbetsgivare som ändå ser till att en majoritet av svenska folket har ett jobb att gå till och finns med i en verksamhet som gör att vi alla är med och betalar skatt som kan gå till skola, vård och omsorg. I Josefin Brinks värld är de parasiter som bara ställer till oreda och därför är det bäst att ta över ägandet.",GX0937,
C,2014,vanligt folk,vanligt folk,"Herr talman! Stefan Löfven har inlett sin karriär som statsminister med att avveckla Landsbygdsdepartementet, införa en lastbilsskatt, avskaffa valfriheten för vanligt folk inom välfärden och tredubbla arbetsgivaravgifterna för unga människor. Utöver detta lägger man på 19 miljarder på de svenska företagen och tror att det ska skapa jobb.",H2098,
C,2021,svenska folket,svenska folket,"Här är pengar inget problem, och det har alltid varit så. Vi tar de mått och steg – och de notor – som behövs för att svenska folket ska kunna känna den största trygghet. Vaccinationen går nu mycket bra och mycket snabbt.",H809147,
C,2024,svenska folket,svenska folket,Man har vänt ryggen åt alla de företagare som just nu funderar på vad de ska göra med sina investeringar i biodrivmedel. När vi ändå pratar om att sänka priserna och att ge löften till svenska folket vill jag påminna att den här regeringen och Ebba Busch också lovade att sänka elskatten. Men nu gör man tvärtom.,HB0956,
C,2025,vanligt folk,vanligt folk,Vi i Centerpartiet står också för en grön tillväxt. Det handlar om att sänka elskatten för att få upp mer vindkraft och göra det möjligt för vanligt folk att köpa gröna bilar. Vi står för att göra något i stället för att bara prata om landsbygden.,HC09135,
C,2026,vanliga människor,vanliga människor,"Enligt SCB är arbetslösheten i Sverige 8,7 procent, och det är inte bara jag som kommer med den här kritiken. Förutom vanliga människor har ju Svenskt Näringslivs egen chefsekonom kritiserat det här siffertrixandet. Han pekar på att antalet ungdomar som studerar men söker jobb och egentligen helst vill få ett jobb – det är någonting vi kanske känner igen – är mycket högt i Sverige.",HD09135,
KD,2003,svenska folket,svenska folket,"Det är inte minst viktigt att få ett bättre beslutsunderlag. Det är inte tillfredsställande att regeringen gör en vandring ut i statsbudgeten för att hitta pengar för sådana åtgärder som svenska folket är mycket angeläget om ska vidtas. Det är också lätt att det uppfattas som att de politiska deklarationerna inte stämmer med de faktiska resurserna, eftersom vi inte kan se de faktiska resurserna i förväg och ha ett begrepp om dem.",GQ0979,
KD,2004,vanliga människor,vanliga människor,"Det är inget litet ansvar som socialdemokratin tar på sig när man pekar med hela handen och säger: Alla barn ditåt! Socialdemokraterna fortsätter att lägga hinder i vägen för att vanliga människor, småfolket, ska få det som är självklart för de redan rika – valfrihet. För Socialdemokraterna verkar det till och med vara okej att i strid med grundlagens principer öppet trotsa de beslut som riksdagen har fattat.",GR0994,
KD,2005,svenska folket,svenska folket,"Om vi kommer i majoritetsställning efter nästa val, vilket jag verkligen hoppas, så kommer självklart förhandlingar att ske om frågan om halveringen av den här momsen. Det vi gör i dag är att vi lägger fram det här för svenska folket. Det är 600 000 svenskar som säger att bensinskatten är för hög, och det är för dem vi lägger fram detta.",GT0921,
KD,2006,svenska folket,svenska folket,"Herr talman! För mig är det lite egendomligt att man nu, åtta månader före ett val, försöker att inbilla svenska folket att nu ska det hända någonting. Vad är det då som gör att man ska kunna lita på det när inte vallöftet 2002 har infriats?",GT0958,
KD,2006,svenska folket,svenska folket,Hur kan det komma sig att en socialdemokratisk förskoleminister eller socialdemokratisk statsminister på ett bräde kan avgöra vad som är bäst för nästan en halv miljon barn? Frågan är: Vill svenska folket verkligen få det här skrivet på näsan? Vill man bli hunsad på det här viset?,GT0960,
KD,2006,svenska folket,svenska folket,"Med en alliansregering som tänker rätt när det gäller turismen skulle bara dessa insatser ge mångdubbelt större, positiva effekter för glesbygd, landsbygd och skärgård än vad nuvarande regering lyckas åstadkomma med hela sin nuvarande regionalpolitik. Det finns som synes starka skäl, fru talman, för svenska folket att rösta fram en ny regering. Fru talman!",GT0988,
